time,n1,n2,weight
0,37,05,21.157055
0,38,14,26.526258
0,10,17,11.642036
0,14,29,18.061949
0,10,02,45.18355
0,24,23,14.099396
0,40,22,2.4352882
0,30,13,18.279518
0,32,39,3.2921193
0,13,23,13.832856
0,27,02,47.64175
0,20,07,1.5291774
0,04,02,16.33023
0,36,19,36.58123
0,39,02,5.889684
0,22,20,0.96882117
0,22,18,29.21586
0,20,23,50.394634
0,06,09,4.901138
0,17,09,4.2741365
0,28,35,3.774253
0,35,06,6.4865746
0,23,18,32.387993
0,36,25,12.621916
0,20,08,0.81587195
0,12,08,2.9253144
0,09,24,16.255459
0,33,38,38.513332
0,34,27,0.9555437
0,01,21,25.69222
0,26,17,13.918908
0,37,30,9.893453
0,13,07,0.051289905
0,04,18,4.588042
0,34,15,0.45510355
0,11,13,33.087406
0,17,40,1.6644486
0,19,26,41.680832
0,04,24,1.3147125
0,30,15,49.205673
0,09,29,1.9708395
0,36,01,24.914152
0,14,32,15.318513
0,15,33,25.903292
0,29,13,5.9497643
0,39,08,32.699883
0,05,29,24.035679
0,14,15,3.038966
0,18,36,15.87018
0,20,30,19.471277
0,26,32,7.0253034
0,37,17,29.352695
0,35,24,33.302578
0,12,24,42.31064
0,15,29,18.916477
0,28,36,15.866415
0,17,23,23.554441
0,16,12,22.274988
0,19,29,9.893042
0,36,28,15.866415
0,29,19,9.893042
0,19,01,50.599186
0,34,04,23.377073
0,34,19,17.182861
0,32,02,22.560978
0,09,14,16.132406
0,15,16,15.629
0,35,04,13.051106
0,40,12,9.417911
0,09,07,10.754992
0,10,37,43.19886
0,33,08,31.386703
0,33,36,42.131416
0,01,24,4.3989067
0,39,09,3.5972915
0,08,17,24.683432
0,38,24,30.976913
0,02,14,24.477423
0,09,32,13.107681
0,18,03,50.136303
0,06,28,29.294197
0,40,27,15.066233
0,24,02,31.332138
0,38,26,46.73417
0,07,08,29.740517
0,09,16,39.24778
0,28,16,35.160503
0,21,35,20.029922
0,03,34,16.709038
0,21,11,19.164698
0,01,14,35.5498
0,05,17,7.8309426
0,22,09,31.93862
0,14,34,48.714363
0,36,26,2.796144
0,01,18,25.462387
0,30,20,19.471277
0,31,25,5.8511257
0,24,26,11.778408
0,16,21,37.26577
0,40,14,23.02439
0,11,27,8.605638
0,28,10,2.7680767
0,21,29,14.891864
0,14,09,16.132406
0,07,22,8.490491
0,26,04,19.668798
0,04,23,35.804745
0,21,07,32.0779
0,13,39,8.874729
0,17,19,19.346033
0,22,10,11.308112
0,22,30,5.0015593
0,26,40,16.102352
0,05,04,16.64127
0,12,16,22.274988
0,01,29,1.7126694
0,40,30,27.57656
0,15,13,7.668315
0,23,11,24.73773
0,24,38,30.976913
0,30,10,25.473562
0,06,11,20.180735
0,18,31,10.111963
0,23,14,0.51993215
0,25,18,14.298739
0,12,14,23.233028
0,10,09,25.363997
0,17,35,9.99246
0,01,27,5.7590213
0,31,18,10.111963
0,23,04,35.804745
0,05,19,0.1166166
0,07,27,43.212627
0,33,19,30.398035
0,18,21,35.26548
0,02,33,34.821213
0,27,25,7.0822716
0,04,27,23.348783
0,40,38,21.688908
0,21,01,25.69222
0,12,34,0.4492958
0,12,21,34.24787
0,08,06,15.287417
0,24,11,13.495255
0,38,19,36.62649
0,02,18,42.549297
0,14,08,44.512657
0,34,33,39.11075
0,02,19,21.094912
0,16,28,35.160503
0,01,34,44.885975
0,12,30,26.111734
0,25,38,23.921974
0,18,22,29.21586
0,24,29,10.209288
0,09,01,23.27242
0,10,04,21.695398
0,28,02,0.30728513
0,14,03,50.01235
0,27,16,14.645759
0,07,18,2.0037682
0,02,04,16.33023
0,38,31,1.7866821
0,28,11,26.276043
0,31,19,20.567865
0,36,10,10.38378
0,25,04,13.156023
0,27,17,19.842422
0,09,19,6.2833095
0,10,23,31.375942
0,15,08,7.356591
0,36,04,4.4821925
0,03,14,50.01235
0,13,31,0.88009757
0,28,25,9.881258
0,06,35,6.4865746
0,04,25,13.156023
0,15,02,24.401785
0,10,31,32.394505
0,03,01,15.266875
0,30,17,28.177467
0,23,37,9.212859
0,01,22,20.772867
0,36,32,57.724323
0,13,30,18.279518
0,39,27,7.915306
0,07,09,10.754992
0,31,32,1.5630736
0,01,36,24.914152
0,31,27,16.40462
0,20,21,30.034966
0,27,31,16.40462
0,15,14,3.038966
0,09,25,24.786175
0,32,15,41.47867
0,01,26,2.2580972
0,08,29,22.39161
0,13,35,24.744772
0,08,21,33.495327
0,12,02,42.238373
0,16,20,24.528229
0,01,40,17.338026
0,38,07,15.99238
0,06,39,1.421875
0,28,06,29.294197
0,02,12,42.238373
0,22,40,2.4352882
0,40,28,48.41693
0,25,16,32.34401
0,11,10,6.6883745
0,36,35,38.314796
0,23,12,24.611973
0,32,24,13.139512
0,04,05,16.64127
0,22,35,8.390741
0,07,21,32.0779
0,09,31,5.8566856
0,30,18,58.999874
0,09,03,1.2313131
0,09,22,31.93862
0,34,03,16.709038
0,07,02,4.5602736
0,31,22,41.33641
0,25,32,11.238435
0,25,31,5.8511257
0,36,11,15.692714
0,13,10,4.94982
0,12,22,9.82424
0,37,24,3.2364001
0,19,05,0.1166166
0,11,19,12.654367
0,16,25,32.34401
0,36,17,10.908023
0,21,30,3.019102
0,29,11,5.2736487
0,05,24,20.069689
0,25,02,28.737803
0,16,36,29.83116
0,17,10,11.642036
0,38,36,10.983443
0,02,15,24.401785
0,20,05,9.786295
0,27,04,23.348783
0,24,32,13.139512
0,32,12,22.56145
0,11,21,19.164698
0,07,13,0.051289905
0,27,29,31.371946
0,33,15,25.903292
0,20,03,17.339668
0,35,25,29.475637
0,23,26,30.812803
0,14,04,75.16402
0,08,39,32.699883
0,38,12,6.3388186
0,16,10,0.91741985
0,29,24,10.209288
0,25,19,35.27119
0,35,17,9.99246
0,13,05,0.7214878
0,07,32,28.522404
0,31,09,5.8566856
0,17,36,10.908023
0,31,08,34.325687
0,09,05,49.375042
0,38,02,2.3552804
0,05,09,49.375042
0,31,29,16.592001
0,30,04,34.983612
0,08,13,12.856421
0,15,11,12.180494
0,11,02,15.617149
0,12,01,1.4577419
0,12,38,6.3388186
0,24,15,17.710533
0,19,28,0.5559707
0,07,39,12.7429
0,40,05,29.734455
0,09,40,4.1374774
0,35,28,3.774253
0,39,40,7.87668
0,02,25,28.737803
0,21,17,21.584429
0,36,24,30.848745
0,03,20,17.339668
0,13,37,30.288847
0,08,12,2.9253144
0,40,07,27.206713
0,08,10,9.262474
0,23,19,10.932988
0,10,16,0.91741985
0,15,36,2.5326538
0,05,01,19.162685
0,23,13,13.832856
0,22,31,41.33641
0,36,16,29.83116
0,11,40,11.786969
0,37,29,44.736813
0,16,30,6.054787
0,11,38,20.222485
0,30,36,15.226069
0,06,02,4.994972
0,29,05,24.035679
0,01,04,4.0237556
0,17,27,19.842422
0,26,10,28.100616
0,35,13,24.744772
0,34,14,48.714363
0,36,15,2.5326538
0,28,40,48.41693
0,18,30,58.999874
0,16,13,11.194842
0,04,01,4.0237556
0,11,15,12.180494
0,38,23,35.3734
0,37,22,43.094078
0,39,32,3.2921193
0,35,15,43.46869
0,31,39,6.6543283
0,30,16,6.054787
0,14,23,0.51993215
0,32,09,13.107681
0,12,23,24.611973
0,18,09,16.748968
0,33,05,24.584932
0,12,28,22.011772
0,27,15,26.827099
0,25,27,7.0822716
0,13,16,11.194842
0,22,39,18.69394
0,31,38,1.7866821
0,17,05,7.8309426
0,33,40,30.325195
0,37,03,9.368548
0,05,39,7.967904
0,31,15,1.5785221
0,01,09,23.27242
0,01,03,15.266875
0,19,21,23.032286
0,28,01,25.209728
0,32,38,40.91312
0,12,05,3.6185727
0,20,31,56.431213
0,06,34,13.65389
0,20,36,15.307582
0,27,30,17.419033
0,07,29,5.189634
0,13,09,0.46571192
0,29,38,23.797916
0,32,13,12.868864
0,17,07,6.4326234
0,03,18,50.136303
0,22,16,50.66928
0,40,24,38.485065
0,02,10,45.18355
0,25,05,36.87649
0,10,22,11.308112
0,07,05,13.777369
0,25,09,24.786175
0,20,24,9.821686
0,24,09,16.255459
0,36,30,15.226069
0,17,18,17.93289
0,13,40,22.79562
0,32,14,15.318513
0,36,33,42.131416
0,13,17,5.596371
0,01,12,1.4577419
0,07,20,1.5291774
0,30,19,14.720477
0,05,40,29.734455
0,26,11,22.017706
0,34,17,27.944265
0,10,36,10.38378
0,24,37,3.2364001
0,40,09,4.1374774
0,14,01,35.5498
0,06,14,15.4752655
0,28,22,4.5093937
0,30,37,9.893453
0,29,18,1.1579983
0,26,27,46.021442
0,33,06,19.7672
0,32,16,11.323299
0,34,05,57.495865
0,40,35,5.6462984
0,14,02,24.477423
0,16,24,2.761709
0,12,32,22.56145
0,38,11,20.222485
0,28,21,32.849552
0,20,40,31.330431
0,23,38,35.3734
0,38,01,3.8094804
0,04,36,4.4821925
0,26,06,25.327755
0,28,20,5.027502
0,21,18,35.26548
0,25,29,12.663365
0,09,06,4.901138
0,18,29,1.1579983
0,06,08,15.287417
0,10,13,4.94982
0,27,11,8.605638
0,36,34,41.03634
0,13,12,6.864366
0,34,35,2.4005136
0,24,06,40.81917
0,18,04,4.588042
0,15,17,7.5144734
0,09,17,4.2741365
0,29,04,12.351529
0,40,17,1.6644486
0,07,17,6.4326234
0,36,13,29.324402
0,17,21,21.584429
0,19,34,17.182861
0,09,18,16.748968
0,33,02,34.821213
0,29,37,44.736813
0,05,37,21.157055
0,29,20,41.058224
0,38,13,14.429528
0,29,14,18.061949
0,27,26,46.021442
0,05,18,23.3318
0,23,22,13.309435
0,37,23,9.212859
0,27,18,9.646246
0,04,10,21.695398
0,24,36,30.848745
0,32,40,3.6764684
0,08,30,20.732353
0,40,11,11.786969
0,33,07,14.016581
0,11,29,5.2736487
0,38,25,23.921974
0,01,35,21.745058
0,29,08,22.39161
0,40,20,31.330431
0,13,15,7.668315
0,40,26,16.102352
0,35,36,38.314796
0,37,32,23.278996
0,10,30,25.473562
0,32,07,28.522404
0,11,20,9.441542
0,35,38,10.977652
0,02,27,47.64175
0,23,10,31.375942
0,29,27,31.371946
0,38,03,9.942518
0,27,40,15.066233
0,14,12,23.233028
0,34,01,44.885975
0,23,15,17.265781
0,17,37,29.352695
0,02,22,10.6592455
0,19,25,35.27119
0,17,13,5.596371
0,18,05,23.3318
0,21,37,3.689188
0,30,08,20.732353
0,18,28,15.131858
0,23,20,50.394634
0,04,34,23.377073
0,24,05,20.069689
0,26,36,2.796144
0,16,14,7.698514
0,34,32,0.61595654
0,03,32,2.9138753
0,30,21,3.019102
0,13,27,13.890024
0,14,16,7.698514
0,40,13,22.79562
0,19,38,36.62649
0,02,06,4.994972
0,09,37,10.7108345
0,09,04,9.891734
0,34,20,24.818827
0,16,15,15.629
0,32,03,2.9138753
0,15,31,1.5785221
0,29,23,41.182476
0,18,37,21.978731
0,22,07,8.490491
0,20,37,39.86866
0,23,17,23.554441
0,22,12,9.82424
0,07,37,1.6193461
0,20,22,0.96882117
0,13,25,4.1395736
0,24,25,15.517935
0,21,28,32.849552
0,10,08,9.262474
0,06,32,10.2777605
0,13,29,5.9497643
0,04,30,34.983612
0,24,20,9.821686
0,13,32,12.868864
0,05,26,25.00543
0,25,08,15.394631
0,30,02,37.969673
0,13,11,33.087406
0,35,01,21.745058
0,19,30,14.720477
0,34,36,41.03634
0,40,36,21.446636
0,15,35,43.46869
0,35,22,8.390741
0,08,31,34.325687
0,20,16,24.528229
0,36,38,10.983443
0,24,12,42.31064
