label,x,y,z
5,4.7394,11.839,-37.02
5,25.362,17.775,-28.557
9,-6.6982,-8.2492,21.594
1,20.53,-15.285,-23.867
2,-54.867,4.135,34.372
2,-34.925,14.821,48.364
4,5.8188,-42.111,24.088
9,20.166,-10.218,7.1147
8,-31.508,-9.2365,-46.27
1,28.89,25.683,40.162
4,15.989,-32.467,14.271
6,-26.555,-21.001,12.482
5,27.183,1.8464,-34.41
7,-1.4529,40.634,20.971
7,23.19,54.62,-3.5401
3,15.78,0.9107,30.716
5,-5.546,19.183,-33.36
1,39.54,31.632,39.786
10,30.746,9.2314,-36.376
2,-53.816,3.8818,40.063
2,-36.041,8.8365,45.249
4,30.9,-38.62,-6.6878
2,-44.031,10.014,44.058
5,-14.555,11.728,-21.465
4,12.01,41.504,22.017
10,26.721,-2.0998,-40.249
10,-9.9093,-9.8691,-31.369
1,31.609,35.459,35.653
8,-23.738,-17.541,-40.704
3,5.0896,0.57906,32.163
5,16.437,5.1529,-34.533
6,19.758,16.959,-24.801
10,-9.4869,-13.822,-32.002
5,25.949,23.494,-32.316
10,-22.657,-4.172,-42.948
3,27.246,-9.3139,19.339
8,3.2451,-19.535,-41.763
7,-12.68,30.284,15.372
6,-11.201,-38.623,9.5848
7,-3.8153,43.685,20.756
7,10.408,44.273,20.135
2,-33.754,9.0561,45.299
2,-41.248,12.901,41.112
10,-5.4625,-0.7191,-36.338
2,-37.548,17.357,45.749
1,41.992,40.132,35.49
6,-18.516,-26.203,6.8786
9,2.6681,-13.492,-7.7919
7,1.9263,43.054,22.007
2,-43.849,13.451,40.822
4,17.861,-40.548,0.20158
5,26.872,3.8158,-49.387
10,-7.2307,11.924,-42.074
2,-65.353,-16.937,25.822
9,-9.778,-7.5412,16.773
7,19.356,49.92,-0.045782
4,18.407,-53.316,-2.6452
2,-61.582,-15.143,27.035
5,-10.08,7.1018,-23.628
5,25.331,25.215,-33.406
2,-41.433,15.342,45.591
6,-22.222,-20.854,3.8753
3,23.949,-4.5789,12.79
4,-6.7758,-16.356,15.773
6,-6.8678,-38.187,15.691
3,22.447,-7.4785,9.8623
3,17.723,-0.092792,26.2
7,25.362,49.961,-4.4434
3,-7.1782,5.5753,18.218
9,11.571,-10.255,-28.689
10,14.578,1.0577,-45.43
8,-1.008,-10.614,-59.519
4,13.741,-35.824,-2.1623
6,-25.524,-20.87,9.0305
2,-58.17,4.7917,41.062
10,-16.135,-7.6328,-35.966
9,15.27,-18.483,6.5203
9,8.1741,-18.847,6.0888
3,3.2926,3.0736,32.121
6,-14.201,-30.706,15.264
1,50.148,29.88,36.495
5,22.061,-3.7579,-32.375
4,8.6918,-31.202,21.226
2,-64.95,-12.29,25.348
2,-53.389,-7.3342,27.647
5,-7.9427,7.5596,-28.946
1,45.007,29.871,33.616
6,-1.1434,-32.565,21.117
5,26.172,0.3412,-35.083
7,0.6964,41.973,21.06
7,15.439,51.179,7.8075
7,-8.3589,47.852,15.11
1,42.795,39.93,25.037
1,33.313,41.119,24.553
4,14.224,-45.584,1.2707
6,25.225,-29.005,1.5471
7,-4.4546,41.225,19.689
4,22.246,-42.352,11.781
9,33.841,-49.396,-1.6148
8,-19.754,-18.689,-51.057
10,-10.738,-11.913,-33.767
6,-20.267,-30.541,1.8341
4,8.2185,-36.634,22.349
2,-51.448,-3.0023,32.039
7,-8.7906,45.258,10.276
8,-13.79,-9.1513,-48.906
5,13.906,5.3405,-38.378
1,35.461,40.988,28.162
3,34.458,-1.2057,10.33
2,-41.016,10.178,41.945
3,35.807,0.90421,8.4639
5,14.008,1.7908,-39.143
6,-23.351,-17.096,3.2239
5,-12.988,6.2608,-21.605
9,-19.7,-3.6319,-4.484
6,-24.988,-8.856,3.325
10,20.496,5.8334,-29.697
7,4.1196,52.242,9.4789
10,-14.19,-10.604,-34.992
3,20.104,18.55,16.607
7,-1.1403,48.067,6.12
3,17.916,4.6137,10.678
7,6.0443,49.86,6.1438
7,-10.51,38.559,12.379
1,34.283,42.673,28.25
3,11.745,11.794,31.073
3,24.136,-8.5368,19.03
7,-8.5535,37.79,13.381
9,14.365,-16.854,7.0269
4,18.498,-18.971,19.18
8,-11.6,-6.0624,-48.835
7,17.917,54.616,4.4919
1,47.659,40.182,30.981
7,9.8388,48.771,2.2958
4,15.155,-38.96,-3.0535
10,18.6,-13.5,-40.613
1,34.357,32.735,40.302
5,-11.215,8.3099,-21.521
5,22.048,11.764,-39.257
5,11.304,10.524,-42.069
8,-26.913,-7.0864,-47.768
4,12.879,-45.726,16.923
8,-7.7699,-8.2184,-50.046
10,-8.2793,-10.129,-29.456
1,32.986,41.186,23.075
2,-60.758,-1.6714,35.941
8,2.9634,-12.534,-35.138
5,16.293,5.5108,-33.439
